,Berlin,,1.0,52.51,13.375,44.9
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),Dry-bulb,PrecWater
1/1/2020,1:0,0,,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,4,E,8,3,E,8,9.3,E,8,6.4,E,8,89,E,8,980,E,8,263,E,8,2.65,E,8,-9990,0,0,-9990,0,0,1.449,E,8,0.014,E,8,0.23,E,8,-9990,-9990,0,0,2.67,0.0
1/1/2020,2:0,0,,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,4,E,8,3,E,8,8.8,E,8,6.3,E,8,91,E,8,980,E,8,252,E,8,2.75,E,8,-9990,0,0,-9990,0,0,1.438,E,8,0.014,E,8,0.22,E,8,-9990,-9990,0,0,2.23,0.0
1/1/2020,3:0,0,,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,4,E,8,3,E,8,8.3,E,8,5.7,E,8,92,E,8,980,E,8,249,E,8,3.03,E,8,-9990,0,0,-9990,0,0,1.386,E,8,0.014,E,8,0.21,E,8,-9990,-9990,0,0,2.09,0.0
1/1/2020,4:0,0,,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,4,E,8,3,E,8,8.1,E,8,5.5,E,8,93,E,8,980,E,8,265,E,8,2.52,E,8,-9990,0,0,-9990,0,0,1.367,E,8,0.014,E,8,0.2,E,8,-9990,-9990,0,0,1.63,0.0
1/1/2020,5:0,0,,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,4,E,8,3,E,8,7.9,E,8,5.3,E,8,93,E,8,980,E,8,263,E,8,2.29,E,8,-9990,0,0,-9990,0,0,1.341,E,8,0.014,E,8,0.2,E,8,-9990,-9990,0,0,1.5,0.0
1/1/2020,6:0,0,,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,4,E,8,3,E,8,7.7,E,8,5.4,E,8,93,E,8,980,E,8,252,E,8,2.64,E,8,-9990,0,0,-9990,0,0,1.354,E,8,0.014,E,8,0.2,E,8,-9990,-9990,0,0,1.45,0.0
1/1/2020,7:0,0,,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,4,E,8,3,E,8,7.6,E,8,5.1,E,8,93,E,8,980,E,8,276,E,8,2.96,E,8,-9990,0,0,-9990,0,0,1.329,E,8,0.014,E,8,0.2,E,8,-9990,-9990,0,0,1.41,0.0
1/1/2020,8:0,0,,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,4,E,8,3,E,8,7.5,E,8,4.8,E,8,94,E,8,980,E,8,237,E,8,2.89,E,8,-9990,0,0,-9990,0,0,1.302,E,8,0.014,E,8,0.2,E,8,-9990,-9990,0,0,1.18,0.0
1/1/2020,9:0,0,,0,3,10,0,3,20,4,3,10,546,3,10,11,3,20,546,3,10,-9990,0,0,4,E,8,3,E,8,7.7,E,8,5.0,E,8,94,E,8,980,E,8,259,E,8,2.62,E,8,-9990,0,0,-9990,0,0,1.314,E,8,0.014,E,8,0.2,E,8,-9990,-9990,0,0,0.86,0.0
1/1/2020,10:0,8,,8,3,10,363,3,20,43,3,10,9684,3,10,22308,3,20,6549,3,10,-9990,0,0,4,E,8,3,E,8,9.1,E,8,5.4,E,8,94,E,8,980,E,8,298,E,8,2.58,E,8,-9990,0,0,-9990,0,0,1.35,E,8,0.014,E,8,0.2,E,8,-9990,-9990,0,0,0.84,0.0
