SimStadt PV potential analysis

Data source;meteonorm tmy3 file 2000-2009
Location;Berlin
Latitude;52,51;°
Longitude;13,38;°
Radiation model;meteonorm_Hay
Irradiance azimuth resolution;5;°
Irradiance tilt resolution;5;°
Max tilt;100;°
Include Tilted Roofs?;true
Include Flat Roofs?;true
Include Facades?;false
Include LOD1?;false
Max flat roof elevation;10;°
Min surface area;40;m²
Min roof insolation;1100;kWh/(m²·a)
Min facade insolation;800;kWh/(m²·a)
Module area to flat roof area;30;%
Module area to tilted roof area;40;%
Module area to LOD1 roof area;15;%
Module area to facade area;5;%
Module efficiency;15;%
Performance Ratio;85;%
Module azimuth on flat roof;180;°
Module tilt on flat roof;25;°


SimStadt version;0.10.0-SNAPSHOT (master, rev. 6d7c707, 20230828)
Created at;2024/11/06 16:02:03
Cache version;7

Irradiance on unshadowed tilted modules on flat roof;138,7;W/m²
Calculation time ;0,22;s

Building ID;Year;Surface area to volume ratio;MeanHeight;BuildingSurface ID;BuildingSurface Hash;LOD;Usage Code;X-Coordinate;Y-Coordinate;Azimuth;Tilt;Area;Module area/Surface area;Irradiance in module plane;PV potential nominal power;PV potential yield;PV specific yield;January irradiance on roof plane;February irradiance on roof plane;March irradiance on roof plane;April irradiance on roof plane;May irradiance on roof plane;June irradiance on roof plane;July irradiance on roof plane;August irradiance on roof plane;September irradiance on roof plane;October irradiance on roof plane;November irradiance on roof plane;December irradiance on roof plane;Total investment;Maintenance costs;LCOE;Net present value;Internal rate of return;Payback period;Discounted payback period;Financial feasibility
[-];[-];[1/m];[m];[-];[-];[-];[-];[m];[m];[°];[°];[m²];[%];[W/m²];[kWp];[MWh/a];[kWh/(kWp.a)];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[€];[€/a];[c€/kWh];[€];[%];[a];[a];[0/1]
DEBE3D04YY500008O4;;0,912;2,986;ID_d47fb0bc-6f87-423e-91b5-533c7c30385d;818894022;LOD2;2460;385509,3;5820772,6;274;4;169,3;30,00;138,7;7;7,23;1033;30;54;126;220;220;231;204;201;141;69;37;24;
DEBE3DTKxB6APGKm;1900;0,281;20,867;ID_9169120d-8b14-4908-a906-f9ed6f4cd328;658835329;LOD2;1010;385178,7;5820882,7;180;0;224,8;30,00;138,7;10;10,33;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DTKxB6APGKm;1900;0,281;20,867;ID_45f1e532-0dee-4e6f-9f9f-72808610b8db;711231001;LOD2;1010;385178,7;5820882,7;180;57;75,7;40,00;131,1;4;3,90;976;31;58;159;240;198;193;176;196;166;78;53;22;
DEBE3DfTCTjDMuSm;;0,339;21,055;ID_221d84fc-5507-4081-a2b0-23cf12c83d95;2134851552;LOD2;1010;385868,8;5821400,2;164;10;148,0;30,00;138,7;6;6,20;1033;28;52;130;227;220;227;203;201;145;68;38;21;
UUID_a889b507-c388-4d9a-a934-70ca4ec83678;;0,186;26,230;ID_30bc14a6-053e-45fc-a04a-94668d539a3b;607600087;LOD2;1100;385997,7;5820240,3;180;0;1879,3;30,00;138,7;84;86,77;1033;28;50;120;214;216;226;201;195;136;65;34;22;
UUID_e11a6098-6374-4f38-8fcc-890f4060f521;;0,525;11,246;ID_85f782dd-5cf6-4253-b2b9-5ad3995f2817;1495012697;LOD2;2522;384188,1;5821797,9;180;0;66,4;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DTlAaLTvFfy;;0,353;23,176;ID_f1760474-045b-4992-9ae5-52e1c9fe9cb1;1647334218;LOD2;1120;384626,6;5820050,7;248;10;180,9;30,00;138,7;8;8,26;1033;33;58;137;232;226;236;207;209;151;73;42;26;
DEBE3De2Orf8rY0u;;0,270;8,956;ID_2d1e7ea9-89ef-4c80-9de5-a5502f92542b;1886511924;LOD2;2111;384797,4;5821525,9;180;0;524,5;30,00;138,7;23;23,76;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DhgWihMTxdW;;0,327;18,549;ID_55d4aefd-956d-41be-80ad-9f1c63741133;395589223;LOD2;1010;385786,4;5821155,1;215;2;97,6;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DhgWihMTxdW;;0,327;18,549;ID_8fc72972-6e4c-4c32-8453-f085f6d93621;1895137343;LOD2;1010;385786,4;5821155,1;215;50;101,4;40,00;148,5;6;6,63;1106;43;74;181;263;219;216;189;220;184;93;64;33;
UUID_c9e6535e-ddc2-4c54-88bb-533dc388010d;;0,377;14,819;ID_cf47ed91-20dd-45de-9c92-ece276f862de;941025067;LOD2;1010;384233,6;5820045,6;180;0;225,3;30,00;138,7;10;10,33;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE01YYK0002TNE_01;;0,463;15,038;ID_c5666414-3b2c-4cfb-80f0-75ed55b9acae;1733037613;LOD2;1010;385918,2;5821203,3;180;0;122,2;30,00;138,7;5;5,16;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DqZlupfcbxa;2013;0,153;23,567;ID_0190163a-31b2-4341-88b5-3b0506b89e6f;328917812;LOD2;2020;385618,1;5820501,0;180;0;236,0;30,00;138,7;10;10,33;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DbXtj6PSQn3;1900;0,416;21,673;ID_7b8b85c3-147f-4d8a-acb7-f029c39e946b;1336585046;LOD2;1010;385031,2;5820825,0;180;0;89,1;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DXGtdqu7bMg;;0,363;15,770;ID_e2f7aa3d-81e7-41e3-a72c-bc34cb491714;2074665657;LOD2;1022;384351,8;5820040,5;180;0;49,8;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
UUID_0a73e060-2bbd-4774-89d8-6bf8e9d03476;;0,369;16,354;ID_8dbcf6e3-688b-411e-9f0b-6fa756fbeee3;2145990636;LOD2;1022;384322,7;5820026,8;180;0;486,4;30,00;138,7;21;21,69;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DJnjyyKoFjC;;0,457;18,748;ID_826471fa-f2da-432d-8f06-626989e5126c;1178280214;LOD2;1010;385796,6;5821269,8;174;9;134,4;30,00;138,7;6;6,20;1033;29;53;133;230;222;229;204;204;148;70;39;22;
DEBE3DqaVL9pHtT4;;0,290;22,510;ID_ee2e614f-2052-457a-b265-35f7e6b05bab;356262102;LOD2;1010;384906,5;5820205,8;180;0;125,2;30,00;138,7;5;5,16;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3Db6jsRAeOS8;;0,275;16,583;ID_c62e9efa-b6cb-4eac-9631-f7776ff4919e;1407649698;LOD2;1010;384493,7;5821931,0;180;0;163,7;30,00;138,7;7;7,23;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DD4th6VUPcq;;0,492;21,063;ID_19a91163-00bf-43e4-9d0f-c79799f42d25;723271970;LOD2;1010;385035,5;5820174,7;175;10;102,9;30,00;138,7;4;4,13;1033;29;53;133;230;222;229;204;204;148;70;39;22;
DEBE3Dh53BqDbaum;2013;0,268;17,912;ID_4b14bb17-6459-4b03-b17a-fed5d806e561;1859795387;LOD2;2520;385401,2;5820469,9;356;6;111,3;30,00;138,7;5;5,16;1033;27;48;112;204;211;224;198;190;129;62;32;21;
DEBE04YY50000FxA_01;2013;0,311;29,474;ID_d1a2a056-8200-4827-9380-9f1c6ebfdd19;1769434260;LOD2;2520;385542,0;5820326,5;59;2;81,6;30,00;138,7;3;3,10;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE04YY50000FxA_02;2013;0,312;29,306;ID_7ca0c5b5-b5ab-45f0-a004-fa13d0b084b0;1837944214;LOD2;2520;385555,5;5820322,8;180;0;81,4;30,00;138,7;3;3,10;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DNmQuRRn8js;;0,347;22,332;ID_867a7eaf-16c6-4170-9cd2-8f4f13f8327c;143350461;LOD2;1010;384928,7;5820928,1;285;10;192,9;30,00;138,7;8;8,26;1033;30;54;128;220;220;234;204;203;142;69;37;24;
DEBE04YY500006tw_03;;0,323;14,216;ID_1b153548-a2cd-4a59-8dea-b7339bcd972c;1871588625;LOD2;2111;384541,4;5821630,6;180;0;346,8;30,00;138,7;15;15,49;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE04YY500006tw_04;;0,457;6,403;ID_dfcddd57-262e-46f2-a7a5-11b7a307d826;540715559;LOD2;2111;384450,9;5821597,0;180;0;356,9;30,00;138,7;16;16,53;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DwG186Vi2UZ;;0,245;21,538;ID_16d74af6-4a9d-4fb7-80ab-51d8da9a923c;1975465511;LOD2;2160;384522,7;5821658,9;159;27;357,2;40,00;131,2;21;20,51;977;26;50;138;235;219;221;201;202;151;68;40;19;
DEBE3DwG186Vi2UZ;;0,245;21,538;ID_bf14c4d0-02bf-4ef0-a9c6-92e2fcef9c9c;989375633;LOD2;2160;384522,7;5821658,9;249;27;58,1;40,00;144,5;3;3,23;1076;38;65;155;247;231;241;207;221;164;81;50;30;
DEBE04YY500006tw_01;;0,632;9,650;ID_41c20473-4771-4deb-9a52-cc7e11682315;1915469133;LOD2;2111;384472,3;5821614,8;160;6;131,6;30,00;138,7;5;5,16;1033;28;51;125;220;218;226;202;198;140;66;36;21;
DEBE3DMwT641c1zW;1905;0,516;20,195;ID_7dda3d9e-c1f2-45d2-9410-8696ca05ed22;337979668;LOD2;1010;384697,8;5820826,2;180;0;102,7;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DlwJAzy6Mf3;2013;0,356;12,748;ID_dc49d49b-3fa1-4bc7-8b5d-8148acb96775;1863102073;LOD2;1010;385110,0;5820429,6;180;0;63,3;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE04YY50000E3N_03;;0,376;13,174;ID_3926db27-b616-4ecb-b953-caf0cec9e769;1222241008;LOD2;1010;384433,4;5820032,8;85;4;269,5;30,00;138,7;12;12,40;1033;25;46;112;205;209;220;197;188;129;61;31;19;
DEBE3DvyoHC7cQ38;;0,356;8,262;ID_3bd6f4b5-54f7-4e6b-b168-9ec86dc478ee;1665379936;LOD2;3065;385421,8;5820089,4;180;0;68,9;30,00;138,7;3;3,10;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D01YYK0002RWe;;0,483;15,543;ID_6c7721df-daff-430f-b175-999207338eec;716409310;LOD2;2020;385802,8;5821097,3;180;0;151,7;30,00;138,7;6;6,20;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D01YYK0003UYx;;0,380;7,165;ID_299c9fcb-7fe2-4447-94cc-b83608afbc0d;830543818;LOD2;1610;385859,9;5821521,4;254;3;845,5;30,00;138,7;38;39,25;1033;30;54;129;223;221;232;204;203;144;70;38;24;
UUID_d924229e-cdcb-4bb2-b50a-afac8f5ec031;;0,158;17,022;ID_9a57c57c-373d-4a07-beb4-04f880d92ff7;1529545690;LOD2;2143;385484,9;5821394,7;180;0;7562,3;30,00;138,7;340;351,22;1033;28;50;120;214;216;226;201;195;136;65;34;22;
UUID_5cdedce9-2461-4673-8588-f178672883ff;1905;0,324;22,303;ID_d17802da-00c4-4926-ad7a-cc3ae9573e96;919056952;LOD2;1010;384557,4;5820767,9;252;38;65,8;40,00;146,9;3;3,28;1094;41;68;165;252;229;238;201;223;171;85;54;32;
UUID_5cdedce9-2461-4673-8588-f178672883ff;1905;0,324;22,303;ID_87b1be2e-ae42-4e92-926d-4bc755c5d14b;217335637;LOD2;1010;384557,4;5820767,9;72;10;196,5;30,00;138,7;8;8,26;1033;23;42;102;192;201;213;191;178;119;56;27;18;
DEBE04YY500005TE_02;1905;0,503;21,683;ID_34b2af5d-cd81-424a-92dc-f691c2135996;1850869049;LOD2;1010;384606,9;5820766,4;197;50;51,1;40,00;141,7;3;3,17;1055;37;67;174;256;210;206;184;210;179;88;59;28;
DEBE3DguXHc4DCIC;1905;0,443;19,920;ID_6960b63a-755e-477e-a0c0-79bc73791115;762108611;LOD2;1010;385597,9;5820619,0;3;2;47,6;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DdmaCjLY1lf;;0,431;21,677;ID_13f7e4c6-97cb-4bfb-b0c5-3f927798bdb3;1144689403;LOD2;1010;385781,0;5820899,6;168;36;67,0;40,00;134,6;4;4,01;1002;28;54;149;244;218;217;197;205;161;73;46;20;
DEBE3DmvHMJGOh1E;;0,940;18,890;ID_cbc1d1e2-17fc-4a64-a5f7-04d7ab9577a5;78782939;LOD2;2160;384620,1;5821557,6;180;0;1211,0;30,00;138,7;54;55,78;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DzTaT9qYsRg;;0,854;4,355;ID_c3cdef71-b422-424c-8350-f5d66ff65c5b;1563836248;LOD2;1010;385847,7;5821281,0;84;2;60,9;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DXnWuwR6MSE;1925;0,414;19,785;ID_d51bd727-fc0b-4244-b88c-2ef9620ecea0;105907652;LOD2;1010;384581,2;5821285,8;169;32;54,4;40,00;135,2;3;3,02;1007;28;54;147;243;221;221;200;207;159;73;45;21;
UUID_390b68bd-2b63-4e49-9f15-8138850daa5d;2013;0,253;13,705;ID_b547b635-7644-4e8f-819f-2a667824d42e;1469194749;LOD2;2111;385156,9;5820406,4;180;0;333,6;30,00;138,7;15;15,49;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DIZj9gK4xQn;1955;0,516;17,644;ID_2744dd68-155a-46bb-a58b-7aa3967df949;639750499;LOD2;1010;384934,0;5820996,5;194;35;190,4;40,00;145,1;11;11,89;1081;36;65;168;260;225;224;199;218;176;85;55;27;
DEBE3D04YY50000900;;0,236;31,101;ID_146d589c-4f4f-41b7-ae1a-b2a00ae270ce;1391423230;LOD2;1010;385910,3;5820239,4;180;0;918,2;30,00;138,7;41;42,35;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3Dmzw0KdSB5m;;0,796;4,898;ID_e5cd14e7-7b5c-4800-9127-a3fc1d9dc008;745139792;LOD2;1610;385733,2;5821742,2;180;0;344,2;30,00;138,7;15;15,49;1033;28;50;120;214;216;226;201;195;136;65;34;22;
